,Arabic name,عبد,# of Passages (as of last update),# of Words (as of last update),Witness ,Formatted,Organized by Story,Uploaded to Github,Last Date Updated,Notes,,,,,,,,,,,,,,,,
22.       ,Aḥmad b. Khālid b. Mūsā al-Wahbī al-Kindī,احمد بن خالد بن موسى الوهبي,72,8435,WAKMW,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/12/23).,,,,,,,,,,,,,,,,
23.       ,ʿAlāʾ b. Hārūn al-Wāsiṭī,علاء بن هارون الوسطي,2,351,WAHWA,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/12/23).,,,,,,,,,,,,,,,,
24.       ,ʿAlī b. Muḥammad,علي بن محمد,,,WALMU,,,,,6/21/23 Added to epp. Needs to be formatted. ,,,,,,,,,,,,,,,,
25.       ,ʿAlī b. Mujāhid b. Rafīʿ al-Rāzī al-Kindī “Ibn al-Kābilī”,علي بن مجاهد بن رفيع الرازي,20,4589,WAMRR,Y,,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. Some passages arranged into story sections (6/13/23).,,,,,,,,,,,,,,,,
26.       ,ʿAlī b. Mushir al-Kūfī al-Qurashī,علي بن مشر الكوفي,2,456,WAMAQ,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/13/23).,,,,,,,,,,,,,,,,
27.       ,ʿAlī b. Thābit,علي بن ثابت,1,121,WALTH,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/13/23).,,,,,,,,,,,,,,,,
28.       ,ʿAmr b. Hāshim (or Hishām) Abū Mālik al-Junubī al-Kūfī,عمرو بن هاشم (او هشام) ابو ملك الجنبي,4,677,WAHJK,Y,Y,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. All passages arranged into story-arcs (6/13/23).,,,,,,,,,,,,,,,,
29.       ,Bakr b. Ḥārithah al-Juhanī,بكر بن حارثة الجهني,1,667,WBRKA,Y,Y,,,New file with updated metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. All passages arranged into story-arcs (6/13/23).,,,,,,,,,,,,,,,,
30.       ,Bakr b. Sulaymān al-Aswārī al-Baṣrī,بكر بن سليمان الاسواري,44,3981,WBSAB,Y,N,,,*** Do a detailed search of SFTX for more quotations***,,,,,,,,,,,,,,,,
,,,,,,,,,,Start SFTXV01P063B for WJHZA and WBSAB search in history section for variations on II name**** finished on #14****,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. (6/14/23),,,,,,,,,,,,,,,,
31.       ,al-Faḍl b. Ghānim al-Khazāʿī,الفضل بن غانم الخزاعي,1,320,WFGHK,Y,Y,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/14/23).,,,,,,,,,,,,,,,,
32.       ,Ghayyāth b. Ibrāhīm Dāwūd al-Awdī al-Baṣrī,غياث بن ابراهيم داود الاودي,1,119,WGHID,Y,Y,,,Newly added to editpad pro. New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/15/23).,,,,,,,,,,,,,,,,
33.       ,Ḥafṣ b. ʿAbd al-Raḥmān b. ʿAmr b. Farūkh b. Faḍḍālah al-Balkhī al-Faqīh al-Nīsābūri,حفص بن عبد الرحمن بن عمرو بن فروخ بن فضالة,3,433,WHARA,Y,,,,Newly added to editpad pro. New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/15/23).,,,,,,,,,,,,,,,,
34.       ,Ḥafṣ b. Ghayyāth al-Nakhaʿī al-Kūfī,حفص بن غياث النخعي,3,190,WHGTM,Y,,,,Newly added to editpad pro. New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/15/23).,,,,,,,,,,,,,,,,
35.       ,al-Ḥajjāj b. Zayd al-Sāmī al-Qurashī al-Baṣrī,الحجاج بن زيد السامي,1,113,WHZSQ,Y,,,,Newly added to editpad pro. New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/15/23).,,,,,,,,,,,,,,,,
36.       ,Ḥammād b. Salamah b. Dīnār al-Baṣrī,حماد بن سلمة بن دينار البصري,60,6039,WHSDB,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/15/23).,,,,,,,,,,,,,,,,
37.       ,Hārūn b. Abī ʿĪsā al-Shāmī,هبرون بن ابي عيسى الشامي,48,10207,WHACI,,,,,Note: search terms:,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله بن هارون بن أبي عيسى/أبيه/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله بن هارون بن أبي عيسى/أبي/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله بن هارون/أبي/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله بن هارون/أبيه/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله/أبيه/بن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله/أبي/بن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله/أبيه/ابن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله/أبي/ابن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,عمر بن هارون بن أبي عيسى//اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عمر بن هارون/ابي/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,عمر بن هارون/ابيه/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,معاذ بن هارون بن أبي عيسى**,,,,,,,,,,,,,,,,
,,,,,,,,,,معاذ/هارون بن أبي عيسى**,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون بن أبي عيسى/اسحاق **,,,,,,,,,,,,,,,,
,,,,,,,,,,ابن ابي عيسى/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون بن عيسى/اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون الشامي/ابن اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون الشامي/بن اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون/ابن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,هارون/بن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,الشامي/ابن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,الشامي/بن اسحاق too many possible,,,,,,,,,,,,,,,,
,,,,,,,,,,ابو عبد الله الشامي/ابن اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,ابو عبد الله الشامي/بن اسحاق**,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,(6/15/23) New metadata with name and tags. Transmitted (TR1)  and (TR2) tagged. Fully tagged on all passages. Corrected diacritics in comments. ,,,,,,,,,,,,,,,,
38.       ,al-Ḥasan b. Aḥmad b. Shuʿayb al-Ḥarrānī,الحسن بن احمد بن شعيب الحراني,1,332,WHASH,Y,Y,,,6/15/23 New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. ,,,,,,,,,,,,,,,,
39.       ,Hushaym b. Bashīr b. al-Qāsim b. Dīnār al-Salamī,هشيم بن بشير بن القاسم بن دينار,11,1129,WHBQD,,,,,6/15/23 New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
40.       ,"Ibn al-Mubārak, Abū ʿAbd al-Raḥmān ʿAbd Allāh b. Mubārak",ابن المبارك ابو عبد الرحمن ,10,1153,WIBMK,Y,N,,,Also listed as أبو معاوية,,,,,,,,,,,,,,,,
,,,,,,,,,,عبد الله بن المبارك,,,,,,,,,,,,,,,,
,,,,,,,,,,ابن المبارك,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6/16/23 New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
41.       ,Ibrāhīm b. al-Mukhtār al-Tamīmī al-Rāzī,ابراهيم بن المختبار الميمي الرازي,44,3709,WIMTR,Y,,,,إبراهيم بن المختار  (run complete on 6/18/23).,,,,,,,,,,,,,,,,
,,,,,,,,,,Also try وإبراهيم بن المختار,,,,,,,,,,,,,,,,
,,,,,,,,,,ابن المختار,,,,,,,,,,,,,,,,
